2020-11-19 00:01:24.4951||DEBUG|GIJoe.Program|init main |url: |action: 
2020-11-19 00:01:35.0114||DEBUG|GIJoe.Program|init main |url: |action: 
2020-11-19 00:01:37.3318||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-11-19 00:01:37.3318||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-11-19 00:01:37.3541||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\B\source\repos\GIJoe\GIJoe\GIJoe |url: |action: 
2020-11-19 00:01:37.4502||ERROR|GIJoe.Controllers.HomeController|test error log |url: http://localhost/|action: Index
2020-11-19 00:01:37.4738||INFO|GIJoe.Controllers.HomeController|name:Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[System.Boolean],age:Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[GIJoe.Models.nameage] |url: http://localhost/|action: Index
2020-11-19 00:02:18.9472||DEBUG|GIJoe.Program|init main |url: |action: 
2020-11-19 00:02:21.1628||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-11-19 00:02:21.1701||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-11-19 00:02:21.1701||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\B\source\repos\GIJoe\GIJoe\GIJoe |url: |action: 
2020-11-19 00:02:21.2487||ERROR|GIJoe.Controllers.HomeController|test error log |url: http://localhost/|action: Index
2020-11-19 00:02:21.2667||INFO|GIJoe.Controllers.HomeController|name:Microsoft.EntityFrameworkCore.Internal.InternalDbSet`1[GIJoe.Models.nameage],age:Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[GIJoe.Models.nameage] |url: http://localhost/|action: Index
2020-11-19 00:04:57.7797||DEBUG|GIJoe.Program|init main |url: |action: 
2020-11-19 00:04:59.8288||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-11-19 00:04:59.8288||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-11-19 00:04:59.8523||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\B\source\repos\GIJoe\GIJoe\GIJoe |url: |action: 
2020-11-19 00:04:59.9160||ERROR|GIJoe.Controllers.HomeController|test error log |url: http://localhost/|action: Index
2020-11-19 00:04:59.9332||INFO|GIJoe.Controllers.HomeController|name:Microsoft.EntityFrameworkCore.Internal.InternalDbSet`1[GIJoe.Models.nameage],age:Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[GIJoe.Models.nameage] |url: http://localhost/|action: Index
2020-11-19 00:06:25.6103||DEBUG|GIJoe.Program|init main |url: |action: 
2020-11-19 00:06:28.1307||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-11-19 00:06:28.1406||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-11-19 00:06:28.1406||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\B\source\repos\GIJoe\GIJoe\GIJoe |url: |action: 
2020-11-19 00:06:28.2189||ERROR|GIJoe.Controllers.HomeController|test error log |url: http://localhost/|action: Index
2020-11-19 00:06:28.5517||INFO|GIJoe.Controllers.HomeController|name:Microsoft.EntityFrameworkCore.Internal.InternalDbSet`1[GIJoe.Models.nameage],age:GIJoe.Models.nameage |url: http://localhost/|action: Index
2020-11-19 00:07:19.6105||DEBUG|GIJoe.Program|init main |url: |action: 
2020-11-19 00:07:21.7993||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-11-19 00:07:21.8104||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-11-19 00:07:21.8104||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\B\source\repos\GIJoe\GIJoe\GIJoe |url: |action: 
2020-11-19 00:07:21.8872||ERROR|GIJoe.Controllers.HomeController|test error log |url: http://localhost/|action: Index
2020-11-19 00:07:22.2265||INFO|GIJoe.Controllers.HomeController|name:Microsoft.EntityFrameworkCore.Internal.InternalDbSet`1[GIJoe.Models.nameage],age:GIJoe.Models.nameage |url: http://localhost/|action: Index
2020-11-19 00:08:55.5608||DEBUG|GIJoe.Program|init main |url: |action: 
2020-11-19 00:08:57.8141||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-11-19 00:08:57.8141||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
